ticker,name,market,locale,primary_exchange,type,active,currency_name,composite_figi,share_class_figi,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,BBG000C2V3D6,BBG001SCTQY4,2025-09-28T06:04:49.245445248Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,BBG00B3T3HD3,BBG00B3T3HF1,2025-09-28T06:04:49.245445999Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,BBG01B0JRCS6,BBG01B0JRCT5,2025-09-28T06:04:49.24544637Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,True,usd,BBG01W275XX6,BBG01W275ZB5,2025-09-28T06:04:49.24544651Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,BBG00LPXX872,BBG00LPXX8Z1,2025-09-28T06:04:49.24544663Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,,,2025-09-28T06:04:49.245446831Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,True,usd,,,2025-09-28T06:04:49.245446911Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,True,usd,,,2025-09-28T06:04:49.245447031Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,BBG000V2S3P6,BBG001T125S9,2025-09-28T06:04:49.245447121Z
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,,,2025-09-28T06:04:49.245447211Z
AACIU,Armada Acquisition Corp. II Units,stocks,us,XNAS,UNIT,True,usd,,,2025-09-28T06:04:49.245447292Z
AACIW,Armada Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,True,usd,,,2025-09-28T06:04:49.245447382Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,BBG000BDYRW6,BBG001T9B1Y4,2025-09-28T06:04:49.245447462Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,BBG005P7Q881,BBG005P7Q907,2025-09-28T06:04:49.245447803Z
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,True,usd,BBG01VH49P35,BBG01VH49Q06,2025-09-28T06:04:49.245447883Z
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,True,usd,,,2025-09-28T06:04:49.245448003Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,,,2025-09-28T06:04:49.245448083Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,,,2025-09-28T06:04:49.245448173Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,BBG000B9XB24,BBG001S5N8T1,2025-09-28T06:04:49.245448253Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,True,usd,BBG00P2HLNY3,BBG00P2HLNZ2,2025-09-28T06:04:49.245448334Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,BBG000D6VW15,BBG001SG47G4,2025-09-28T06:04:49.245448414Z
AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,BBG000C2LZP3,BBG001S6CZK0,2025-09-28T06:04:49.245448494Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,BBG000F7RCJ1,BBG001SD2SB2,2025-09-28T06:04:49.245448574Z
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,True,usd,BBG0193F21N2,BBG0193F22H7,2025-09-28T06:04:49.245448654Z
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,True,usd,BBG0193YGJ57,BBG0193YGK09,2025-09-28T06:04:49.245448865Z
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,True,usd,BBG01RJXM9C9,BBG01RJXMB89,2025-09-28T06:04:49.245448945Z
